line,secDetail,orderDetail,node,distance,distancePreviousStop,name,latitude,longitude
1,20,1,451,3826,395,Metro Serrano,40.426054771421,-3.6879226199872
1,20,1,452,4168,342,Museo Arqueolgico,40.422997631975,-3.688445506034
1,20,1,161,4479,311,Puerta de Alcal,40.420587758023,-3.6891989125635
1,20,1,69,4879,400,Cibeles,40.419696944052,-3.6935393486955
1,20,1,5135,5158,279,CIRCULO DE BELLAS ARTES,40.419057155041,-3.6965620948851
1,20,1,4108,5464,306,GRAN VIA-CHUECA,40.419928924155,-3.6998927687378
1,20,1,4654,5705,241,Metro Gran Va,40.420217955679,-3.7027400695435
1,20,1,168,6137,432,Santo Domingo,40.421289381531,-3.7072764823115
1,20,1,170,6409,272,Gran Va-Plaza de Espaa,40.422896075988,-3.7097098279899
1,20,1,1750,6688,279,PLAZA DE ESPAA,40.424693925473,-3.7118152363188
1,20,1,172,6840,152,Ventura Rodrguez,40.425895886242,-3.7126648850499
1,20,1,734,7141,301,PRINCESA-REY FRANCISCO,40.428245351493,-3.7144261786825
1,20,1,736,7388,247,ARGUELLES,40.430173886546,-3.7157811201587
1,20,1,738,7638,250,ALTAMIRANO,40.432165148144,-3.7171875010661
1,20,1,4816,7841,203,MONCLOA,40.43376152766,-3.7183480713284
1,20,1,4021,8193,352,JUNTA MUNICIPAL MONCLOA,40.435709006875,-3.718097625185
1,20,1,743,8768,575,CRISTO REY,40.438432589979,-3.7176313991224
1,20,1,4514,9046,278,CRISTO REY,40.43837663681,-3.7179373594436
2,10,1,3811,0,0,MANUEL BECERRA,40.427502096003,-3.6684895407653
2,10,1,148,276,276,Doctor Esquerdo-Goya,40.425157269181,-3.668922532296
2,10,1,150,639,363,Casa de la Moneda,40.421930481385,-3.6691970483402
2,10,1,1256,1047,408,HOSPITAL GREGORIO MARAON,40.418334209364,-3.6694914518929
2,10,1,199,1374,327,Ibiza-Maiquez,40.41825212972,-3.6727674499642
2,10,1,2157,1707,333,NARVAEZ-IBIZA,40.41859310467,-3.6760901082608
2,10,1,156,2059,352,O Donnell-Narvez,40.421672368133,-3.6763967684178
2,10,1,158,2398,339,O Donnell-Retiro,40.421666799238,-3.6804163134814
2,10,1,161,3186,788,Puerta de Alcal,40.420587758023,-3.6891989125635
2,10,1,69,3587,401,Cibeles,40.419696944052,-3.6935393486955
2,10,1,5135,3866,279,CIRCULO DE BELLAS ARTES,40.419057155041,-3.6965620948851
2,10,1,4108,4172,306,GRAN VIA-CHUECA,40.419928924155,-3.6998927687378
2,10,1,4654,4413,241,Metro Gran Va,40.420217955679,-3.7027400695435
2,10,1,168,4845,432,Santo Domingo,40.421289381531,-3.7072764823115
2,10,1,170,5117,272,Gran Va-Plaza de Espaa,40.422896075988,-3.7097098279899
2,10,1,1750,5396,279,PLAZA DE ESPAA,40.424693925473,-3.7118152363188
2,10,1,172,5548,152,Ventura Rodrguez,40.425895886242,-3.7126648850499
2,10,1,175,5803,255,Mrtires de Alcal,40.427709970077,-3.7135917658134
2,10,1,176,6140,337,Arguelles,40.430442112279,-3.7117343726381
2,10,1,177,6525,385,Blasco de Garay-Centro de Mayores,40.433912131659,-3.7114762151871
