line,secDetail,orderDetail,node,distance,distancePreviousStop,latitude,longitude
1,19,1,8644,7752,0,40.439005166288,-3.6733739939654
1,19,1,8645,7766,0,40.439121876973,-3.6734435447551
1,19,1,1190,7880,0,40.44001897727,-3.67409392158
1,19,1,12764,7977,0,40.44079965968,-3.6746240624239
1,19,1,12765,8003,0,40.441006047334,-3.6747640811448
1,19,1,1136,8032,0,40.441239349808,-3.6749232356817
1,19,1,1114,8101,0,40.44177760094,-3.6753141913305
1,19,1,1095,8156,0,40.442217289137,-3.6756133734844
1,19,1,1081,8227,0,40.442791633317,-3.6759940897506
1,19,1,1050,8344,0,40.443551832196,-3.6769438471369
1,19,1,1029,8434,0,40.444105936639,-3.6777028897754
1,19,1,1015,8497,0,40.444532335969,-3.6771942343843
1,19,1,1016,8577,0,40.444486600501,-3.6757728788126
1,19,1,1030,8667,0,40.444111259804,-3.6752538264564
1,19,1,1041,8728,0,40.443762659654,-3.6747833926335
1,19,1,1060,8784,0,40.443245415509,-3.675423212725
1,29,1,1080,67,0,40.442791633317,-3.6759940897506
1,29,1,1095,137,0,40.442217289137,-3.6756133734844
1,29,1,1114,208,0,40.44177760094,-3.6753141913305
1,29,1,1136,263,0,40.441239349808,-3.6749232356817
1,29,1,12765,331,0,40.441006047334,-3.6747640811448
1,29,1,12764,360,0,40.44079965968,-3.6746240624239
1,29,1,1190,386,0,40.44001897727,-3.67409392158
1,29,1,8645,484,0,40.439121876973,-3.6734435447551
1,29,1,8644,598,0,40.439005166288,-3.6733739939654
1,29,1,5734,612,0,40.438951349459,-3.6733333685904
1,29,1,11196,619,0,40.438457721235,-3.6730136340715
1,29,1,1271,680,0,40.43830532672,-3.6728835968862
1,29,1,1283,700,0,40.437947879202,-3.672383651689
1,29,1,1294,758,0,40.43768010907,-3.6719541684271
1,29,1,1307,806,0,40.437447973633,-3.6715934277204
1,29,1,1361,845,0,40.436169158856,-3.6699630844358
1,29,1,1386,1049,0,40.435664080403,-3.6700630031514
1,29,1,8080,1105,0,40.434662350489,-3.6703631345797
1,29,1,8081,1220,0,40.434572198126,-3.6703740291626
1,29,1,8083,1230,0,40.434509023104,-3.670393444607
1,29,1,8082,1237,0,40.433751517502,-3.6705238618218
1,29,1,1544,1322,0,40.433039641812,-3.6705533383736
1,29,1,1576,1401,0,40.432309742387,-3.6705838143131
1,29,1,1615,1482,0,40.431886149115,-3.6706137958167
1,29,1,1625,1529,0,40.43163541995,-3.6719034264432
1,29,1,8224,1643,0,40.431357598074,-3.6716530841975
1,29,1,8225,1681,0,40.43100723596,-3.6714833688623
1,29,1,10429,1722,0,40.430406246599,-3.6710341164672
1,29,1,15105,1799,0,40.430056588023,-3.6707429855099
1,29,1,15104,1845,0,40.42993109953,-3.6706332786906
1,29,1,8227,1862,0,40.429660484869,-3.6706930725752
1,29,1,1749,1895,0,40.429660484869,-3.6706930725752
1,29,1,19669,2030,0,40.429732330476,-3.6722829565976
1,29,1,19670,2115,0,40.429771554852,-3.6732830631566
1,29,1,19665,2158,0,40.429786597755,-3.6737936814504
1,29,1,19666,2219,0,40.429818492994,-3.6745037042611
1,29,1,1721,2294,0,40.429858345571,-3.6753930018977
1,29,1,1716,2423,0,40.429939597347,-3.676904002487
1,29,1,1710,2543,0,40.430021368902,-3.6783230565347
1,29,1,1706,2629,0,40.430078495393,-3.6793339610715
1,29,1,1701,2697,0,40.43011760319,-3.6803435067787
1,29,1,1702,2766,0,40.43011760319,-3.6803435067787
1,29,1,1698,2839,0,40.43016659283,-3.6812034309142
1,29,1,1692,2945,0,40.430231290029,-3.682453736823
1,29,1,1684,3060,0,40.430295388006,-3.6838030682071
1,29,1,1681,3154,0,40.430351935745,-3.6849035733506
1,29,1,1677,3240,0,40.430400003219,-3.685913217223
1,29,1,1773,3332,0,40.429257099593,-3.6872231528519
1,29,1,1849,3466,0,40.427868239485,-3.6874730837691
1,29,1,1922,3621,0,40.426497332239,-3.6877337973453
1,29,1,2009,3775,0,40.425378974511,-3.6879440265957
1,29,1,17059,3901,0,40.424287648407,-3.6881533458219
1,29,1,17058,4023,0,40.423999064407,-3.6882034511427
1,29,1,14743,4055,0,40.42325961908,-3.6883232247276
1,29,1,14742,4138,0,40.422538246478,-3.6884337497907
1,29,1,2201,4219,0,40.422195548804,-3.6884939099939
1,29,1,2216,4257,0,40.421825825926,-3.6885537940475
1,29,1,6226,4298,0,40.421194607042,-3.6886534462994
1,29,1,7425,4369,0,40.420617796449,-3.6886935354416
1,29,1,7428,4433,0,40.420310001416,-3.6889438265839
1,29,1,7426,4474,0,40.420119328932,-3.6891929532608
1,29,1,15883,4505,0,40.419845836904,-3.6897335596464
1,29,1,7444,4560,0,40.419714216937,-3.6906539853832
1,29,1,2275,4639,0,40.419685339529,-3.6909636969665
1,29,1,2281,4666,0,40.419600733344,-3.6915533760557
1,29,1,11386,4717,0,40.419525972166,-3.6920028856083
1,29,1,11385,4756,0,40.419516364071,-3.6921029792482
1,29,1,7254,4764,0,40.419516364071,-3.6921029792482
1,29,1,5621,4804,0,40.419539435996,-3.6927633049886
1,29,1,11466,4821,0,40.419539435996,-3.6927633049886
1,29,1,11465,4843,0,40.419546826706,-3.6930333101997
1,29,1,11430,4867,0,40.419407134231,-3.6937933353059
1,29,1,7310,4911,0,40.419288518443,-3.694043185472
1,29,1,7316,4936,0,40.419196743219,-3.6943239575428
1,29,1,2289,4962,0,40.419028578412,-3.6953229635077
1,29,1,2293,5049,0,40.418972592486,-3.6956441778864
1,29,1,16774,5077,0,40.41889860311,-3.6959628487607
1,29,1,16773,5105,0,40.418852347773,-3.6961639329958
1,29,1,7539,5123,0,40.418852347773,-3.6961639329958
1,29,1,7538,5189,0,40.41886567061,-3.6969432035579
1,29,1,7121,5209,0,40.418954553398,-3.6971433245654
1,29,1,2287,5239,0,40.419069735742,-3.6974639473542
1,29,1,2282,5315,0,40.419298837811,-3.6983138177407
1,29,1,2270,5446,0,40.419731567698,-3.6997539902552
1,29,1,7137,5581,0,40.419998846387,-3.7017335042912
1,29,1,17361,5618,0,40.419998846387,-3.7017335042912
1,29,1,17362,5650,0,40.420032639984,-3.7021028007828
1,29,1,2266,5672,0,40.420040001695,-3.7023739873401
1,29,1,2264,5684,0,40.420048222303,-3.7025037341683
1,29,1,2263,5734,0,40.420089681573,-3.7030935354809
1,29,1,2261,5772,0,40.420131991462,-3.7035430762178
1,29,1,2260,5814,0,40.420156031668,-3.704033682999
1,29,1,2256,5889,0,40.420222740635,-3.7049137202239
1,29,1,2253,5946,0,40.42027270681,-3.7055837678985
1,29,1,2252,5962,0,40.420280556857,-3.7057736275854
1,29,1,2250,5980,0,40.42029729259,-3.7059836188448
1,29,1,2249,5987,0,40.420305811481,-3.7060638624743
1,29,1,2244,6039,0,40.420591104829,-3.7065536685249
1,29,1,7630,6085,0,40.420840723053,-3.7069841675548
1,29,1,16971,6120,0,40.421037025121,-3.7072938781027
1,29,1,16972,6176,0,40.421367232205,-3.7078042043834
1,29,1,2218,6203,0,40.421518858451,-3.7080533342635
1,29,1,7638,6340,0,40.422304100471,-3.7092839611406
1,29,1,2167,6445,0,40.422919829142,-3.7102428903514
1,29,1,15881,6522,0,40.423357021316,-3.7109335485894
1,29,1,15882,6579,0,40.423787173992,-3.7113035068487
1,29,1,17033,6657,0,40.424378626429,-3.7118130912426
1,29,1,17034,6703,0,40.424737319351,-3.7120832861113
1,29,1,1989,6785,0,40.425364924986,-3.7125732260332
1,29,1,1950,6857,0,40.425938965507,-3.7129836270386
1,29,1,17028,6914,0,40.426387440616,-3.7133031157785
1,29,1,17029,6963,0,40.426782104908,-3.7135831377777
1,29,1,7485,7004,0,40.427095991933,-3.7138139756562
1,29,1,7486,7048,0,40.427445737031,-3.7140734877748
1,29,1,1854,7083,0,40.427714770734,-3.7142732049999
1,29,1,1831,7113,0,40.427956961216,-3.7144431678336
1,29,1,11231,7151,0,40.42826196195,-3.7146538787352
1,29,1,11232,7233,0,40.42889862984,-3.7151333545323
1,29,1,14752,7240,0,40.428961440164,-3.7151741022846
1,29,1,14754,7249,0,40.429042646337,-3.7151537424151
1,29,1,10055,7254,0,40.42907862129,-3.7151635546772
1,29,1,10336,7331,0,40.429688568404,-3.7155932438289
1,29,1,10337,7340,0,40.429760328491,-3.715643518636
1,29,1,10052,7365,0,40.429912119706,-3.7158632262811
1,29,1,11333,7454,0,40.430620783006,-3.7163540996982
1,29,1,11334,7570,0,40.431535604488,-3.7170134032002
1,29,1,1609,7587,0,40.431670114994,-3.717113863035
1,29,1,1593,7617,0,40.431912300962,-3.717283846166
1,29,1,1572,7671,0,40.432324788528,-3.7175935780906
1,29,1,6315,7753,0,40.432979518498,-3.7180638714226
1,29,1,6324,7806,0,40.433401136663,-3.718353667751
1,29,1,12505,7821,0,40.433517695234,-3.7184433312425
1,29,1,12507,7852,0,40.433759813134,-3.7186239339661
1,29,1,6322,7884,0,40.434038469727,-3.7187235772771
1,29,1,11336,7903,0,40.434190936598,-3.7188336674254
1,29,1,11335,7938,0,40.434469028401,-3.7190240885178
1,29,1,12502,8009,0,40.435015901867,-3.719453175228
1,29,1,5386,8039,0,40.43525820887,-3.7196031335625
1,29,1,6351,8110,0,40.435500087175,-3.7183736484512
1,29,1,10164,8167,0,40.435500087175,-3.7183736484512
1,29,1,10165,8174,0,40.435554268884,-3.718353002955
1,29,1,10120,8293,0,40.436627378053,-3.7181840330906
1,29,1,10121,8417,0,40.437727650867,-3.7179929451923
1,29,1,14749,8432,0,40.437871915535,-3.7179732570618
1,29,1,14746,8457,0,40.438088378425,-3.7179331139336
1,29,1,6818,8555,0,40.438954288349,-3.7177631070171
1,29,1,11342,8581,0,40.439046113302,-3.7174834648452
1,29,1,1212,8620,0,40.439370309751,-3.7175034186271
1,29,1,1215,8639,0,40.439358820009,-3.7179030032307
1,29,1,12991,8658,0,40.439259282031,-3.7179738678959
1,29,1,1229,8671,0,40.439151240991,-3.7179632858905
1,29,1,6776,8683,0,40.439061458183,-3.7179139888246
1,29,1,6778,8694,0,40.438998773473,-3.7178531894399
1,29,1,5390,8702,0,40.438954288349,-3.7177631070171
1,29,1,6819,8809,0,40.438954288349,-3.7177631070171
1,29,1,11343,8836,0,40.439046113302,-3.7174834648452
1,29,1,1213,8875,0,40.439370309751,-3.7175034186271
1,29,1,1216,8893,0,40.439358820009,-3.7179030032307
1,29,1,12992,8913,0,40.439259282031,-3.7179738678959
1,29,1,1230,8925,0,40.439151240991,-3.7179632858905
1,29,1,6777,8938,0,40.439061458183,-3.7179139888246
1,29,1,6779,8949,0,40.438998773473,-3.7178531894399
1,29,1,5391,8957,0,40.438954288349,-3.7177631070171
1,29,1,14748,8966,0,40.438088378425,-3.7179331139336
2,19,1,8213,17,0,40.426969161043,-3.6687330038321
2,19,1,8205,72,0,40.425690061461,-3.6687038312736
2,19,1,8206,216,0,40.425527841773,-3.6687140130343
2,19,1,2046,234,0,40.42496894487,-3.6687733132573
2,19,1,2058,297,0,40.424842704278,-3.6687932817269
2,19,1,2066,311,0,40.424707509816,-3.6688037308589
2,19,1,2091,326,0,40.4244371277,-3.6688234502587
2,19,1,15062,356,0,40.423806272411,-3.6688631750284
2,19,1,15061,426,0,40.42368909476,-3.6688738023582
2,19,1,16734,439,0,40.423454807648,-3.6688832695895
2,19,1,16733,464,0,40.423004243417,-3.6689035610862
2,19,1,8049,514,0,40.422760947855,-3.6689129389135
2,19,1,8048,542,0,40.422138289088,-3.6690930177584
2,19,1,19597,616,0,40.421922011925,-3.6691038413107
2,19,1,19596,640,0,40.421525450333,-3.6691329174756
2,19,1,17030,683,0,40.421336082435,-3.6691640464438
2,19,1,15938,705,0,40.421155156627,-3.6692930959826
2,19,1,10865,728,0,40.421101215266,-3.6692737012231
2,19,1,10864,735,0,40.420966832601,-3.6691438849139
2,19,1,11482,753,0,40.420867617144,-3.669164119403
2,19,1,11506,765,0,40.420011421148,-3.6692240024322
2,19,1,14635,860,0,40.419425436838,-3.6692936343433
2,19,1,14634,925,0,40.41906502475,-3.6693030284899
2,19,1,11469,965,0,40.418767555624,-3.6693330845696
2,19,1,14637,998,0,40.418578249013,-3.6693536039842
2,19,1,14636,1019,0,40.418037600083,-3.6693729984832
2,19,1,14633,1079,0,40.417992496529,-3.6693831597995
2,19,1,8169,1085,0,40.417991622942,-3.6695340253519
2,19,1,8170,1098,0,40.417991622942,-3.6695340253519
2,19,1,17120,1150,0,40.418051151451,-3.6701440063851
2,19,1,17121,1178,0,40.418067261737,-3.6704730252307
2,19,1,14642,1230,0,40.41809074474,-3.6710838282979
2,19,1,17116,1271,0,40.418096912916,-3.6715730528005
2,19,1,17117,1334,0,40.418137653077,-3.6723136860466
2,19,1,17100,1411,0,40.418177462063,-3.6732134364513
2,19,1,17101,1472,0,40.4182183085,-3.6739340345459
2,19,1,17096,1542,0,40.418249564235,-3.6747535492517
2,19,1,17097,1632,0,40.418297425733,-3.6758136876145
2,19,1,2297,1677,0,40.418330364693,-3.6763432582027
2,19,1,2283,1798,0,40.419420913611,-3.6762634175845
